ano,mes,data,regiao,uf,fonte_energia,producao_mwh,consumo_mwh,capacidade_instalada,emissao_co2,custo_medio_mwh,percentual_renovavel,nivel_demanda
2015,1,2015-01-01,Centro-Oeste,DF,Biomassa,15628.07,12859.95,21879.3,625.12,276.34,95,Baixo
2015,1,2015-01-01,Centro-Oeste,DF,Nuclear,4858.74,5536.44,6802.24,194.35,282.65,95,Crítico
2015,1,2015-01-01,Centro-Oeste,GO,Hidrelétrica,80408.59,86253.07,112572.02,3216.34,404.79,95,Alto
2015,1,2015-01-01,Centro-Oeste,GO,Eólica,33529.98,29902.1,46941.98,1341.2,317.4,95,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Solar,28906.02,30389.2,40468.43,1156.24,266.27,95,Alto
2015,1,2015-01-01,Centro-Oeste,GO,Termelétrica,47138.89,42433.79,65994.44,30640.28,238.25,10,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Biomassa,2583.82,2455.6,3617.35,103.35,384.58,95,Médio
2015,1,2015-01-01,Centro-Oeste,GO,Nuclear,17078.17,12866.75,23909.44,683.13,227.76,95,Baixo
2015,1,2015-01-01,Centro-Oeste,MT,Hidrelétrica,65381.71,64383.42,91534.39,2615.27,434.14,95,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Eólica,8000.79,8691.54,11201.11,320.03,258.95,95,Alto
2015,1,2015-01-01,Centro-Oeste,MT,Solar,17497.26,14138.84,24496.16,699.89,414.6,95,Baixo
2015,1,2015-01-01,Centro-Oeste,MT,Termelétrica,37936.68,32501.84,53111.36,24658.84,224.1,10,Médio
2015,1,2015-01-01,Centro-Oeste,MT,Biomassa,26598.63,28044.53,37238.08,1063.95,209.73,95,Alto
2015,1,2015-01-01,Centro-Oeste,MT,Nuclear,12364.49,12047.07,17310.29,494.58,387.49,95,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Hidrelétrica,76854.13,62200.72,107595.78,3074.17,345.66,95,Baixo
2015,1,2015-01-01,Centro-Oeste,MS,Eólica,33242.76,26719.9,46539.87,1329.71,171.67,95,Baixo
2015,1,2015-01-01,Centro-Oeste,MS,Solar,22982.99,21340.55,32176.18,919.32,254.92,95,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Termelétrica,7875.55,8374.45,11025.77,5119.11,251.21,10,Alto
2015,1,2015-01-01,Centro-Oeste,MS,Biomassa,15512.3,13470.2,21717.22,620.49,349.47,95,Médio
2015,1,2015-01-01,Centro-Oeste,MS,Nuclear,4392.4,3729.32,6149.35,175.7,361.64,95,Baixo
2015,1,2015-01-01,Sudeste,SP,Hidrelétrica,74402.37,71590.3,104163.32,2976.09,420.81,95,Médio
2015,1,2015-01-01,Sudeste,SP,Eólica,28515.83,32084.23,39922.17,1140.63,306.94,95,Crítico
2015,1,2015-01-01,Sudeste,SP,Solar,9405.31,9125.77,13167.43,376.21,267.66,95,Médio
2015,1,2015-01-01,Sudeste,SP,Termelétrica,38286.37,35821.18,53600.91,24886.14,216.13,10,Médio
2015,1,2015-01-01,Sudeste,SP,Biomassa,30321.09,27165.29,42449.53,1212.84,266.94,95,Médio
2015,1,2015-01-01,Sudeste,SP,Nuclear,100.0,105.89,140.0,4.0,199.29,95,Alto
2015,1,2015-01-01,Sudeste,RJ,Hidrelétrica,63257.91,52451.43,88561.07,2530.32,270.26,95,Baixo
2015,1,2015-01-01,Sudeste,RJ,Eólica,27227.86,28816.26,38119.0,1089.11,289.83,95,Alto
2015,1,2015-01-01,Sudeste,RJ,Solar,23365.24,20202.34,32711.34,934.61,445.12,95,Médio
2015,1,2015-01-01,Sudeste,RJ,Termelétrica,30626.97,31016.35,42877.76,19907.53,215.56,10,Alto
2015,1,2015-01-01,Sudeste,RJ,Biomassa,12757.72,11540.33,17860.8,510.31,402.52,95,Médio
2015,1,2015-01-01,Sudeste,RJ,Nuclear,100.0,79.35,140.0,4.0,310.9,95,Baixo
2015,1,2015-01-01,Sudeste,MG,Hidrelétrica,90755.04,77101.14,127057.06,3630.2,353.46,95,Baixo
2015,1,2015-01-01,Sudeste,MG,Eólica,23339.9,22482.22,32675.86,933.6,211.24,95,Médio
2015,1,2015-01-01,Sudeste,MG,Solar,34076.55,34995.37,47707.17,1363.06,165.68,95,Alto
2015,1,2015-01-01,Sudeste,MG,Termelétrica,25853.3,28929.32,36194.62,16804.65,251.88,10,Alto
2015,1,2015-01-01,Sudeste,MG,Biomassa,17368.54,17868.6,24315.96,694.74,234.95,95,Alto
2015,1,2015-01-01,Sudeste,MG,Nuclear,16835.79,18363.89,23570.11,673.43,192.39,95,Alto
2015,1,2015-01-01,Sudeste,ES,Hidrelétrica,58744.0,49630.77,82241.6,2349.76,217.32,95,Baixo
2015,1,2015-01-01,Sudeste,ES,Eólica,15366.86,11850.49,21513.6,614.67,200.76,95,Baixo
2015,1,2015-01-01,Sudeste,ES,Solar,39805.97,39160.93,55728.36,1592.24,170.58,95,Médio
2015,1,2015-01-01,Sudeste,ES,Termelétrica,44751.93,50653.25,62652.7,29088.75,339.68,10,Crítico
2015,1,2015-01-01,Sudeste,ES,Biomassa,17628.04,15437.44,24679.26,705.12,301.65,95,Médio
2015,1,2015-01-01,Sudeste,ES,Nuclear,4520.51,3644.85,6328.71,180.82,153.49,95,Baixo
2015,1,2015-01-01,Sul,PR,Hidrelétrica,59325.15,54527.19,83055.21,2373.01,216.82,95,Médio
2015,1,2015-01-01,Sul,PR,Eólica,17616.93,19066.79,24663.7,704.68,407.67,95,Alto
2015,1,2015-01-01,Sul,PR,Solar,36557.22,37781.65,51180.1,1462.29,325.59,95,Alto
2015,1,2015-01-01,Sul,PR,Termelétrica,38329.96,36673.39,53661.94,24914.47,384.69,10,Médio
2015,1,2015-01-01,Sul,PR,Biomassa,15368.95,16282.06,21516.54,614.76,375.15,95,Alto
2015,1,2015-01-01,Sul,PR,Nuclear,9035.47,10054.23,12649.66,361.42,162.76,95,Alto
2015,1,2015-01-01,Sul,SC,Hidrelétrica,64057.37,73018.4,89680.31,2562.29,265.78,95,Crítico
2015,1,2015-01-01,Sul,SC,Eólica,29207.08,24771.23,40889.91,1168.28,421.62,95,Baixo
2015,1,2015-01-01,Sul,SC,Solar,39684.55,41907.06,55558.38,1587.38,208.39,95,Alto
2015,1,2015-01-01,Sul,SC,Termelétrica,18792.21,18435.63,26309.1,12214.94,353.27,10,Médio
2015,1,2015-01-01,Sul,SC,Biomassa,24085.03,25306.73,33719.05,963.4,292.41,95,Alto
2015,1,2015-01-01,Sul,SC,Nuclear,2533.93,2897.96,3547.51,101.36,209.99,95,Crítico
2015,1,2015-01-01,Sul,RS,Hidrelétrica,71082.64,61490.83,99515.69,2843.31,360.52,95,Médio
2015,1,2015-01-01,Sul,RS,Eólica,27431.42,22142.85,38403.99,1097.26,415.37,95,Baixo
2015,1,2015-01-01,Sul,RS,Solar,24931.59,21337.42,34904.23,997.26,270.68,95,Médio
2015,1,2015-01-01,Sul,RS,Termelétrica,27473.94,27073.0,38463.52,17858.06,355.18,10,Médio
2015,1,2015-01-01,Sul,RS,Biomassa,29538.21,30893.63,41353.49,1181.53,243.44,95,Alto
2015,1,2015-01-01,Sul,RS,Nuclear,22008.56,23772.96,30811.98,880.34,352.61,95,Alto
2015,2,2015-02-01,Norte,AM,Hidrelétrica,72593.02,66136.73,101630.22,2903.72,376.25,95,Médio
2015,2,2015-02-01,Norte,AM,Eólica,19010.19,14362.75,26614.26,760.41,325.56,95,Baixo
2015,2,2015-02-01,Norte,AM,Solar,8865.84,6727.64,12412.17,354.63,177.69,95,Baixo
2015,2,2015-02-01,Norte,AM,Termelétrica,34295.82,36629.13,48014.15,22292.28,437.74,10,Alto
2015,2,2015-02-01,Norte,AM,Biomassa,22781.8,24841.98,31894.52,911.27,425.13,95,Alto
2015,2,2015-02-01,Norte,AM,Nuclear,9111.2,10097.09,12755.68,364.45,439.98,95,Alto
2015,2,2015-02-01,Norte,PA,Hidrelétrica,79383.84,83163.49,111137.38,3175.35,198.32,95,Alto
2015,2,2015-02-01,Norte,PA,Eólica,28343.55,21512.22,39680.97,1133.74,414.08,95,Baixo
2015,2,2015-02-01,Norte,PA,Solar,33391.04,31778.96,46747.46,1335.64,364.06,95,Médio
2015,2,2015-02-01,Norte,PA,Termelétrica,26043.98,24386.03,36461.57,16928.59,259.21,10,Médio
2015,2,2015-02-01,Norte,PA,Biomassa,16246.28,18524.96,22744.79,649.85,197.3,95,Crítico
2015,2,2015-02-01,Norte,PA,Nuclear,100.0,83.91,140.0,4.0,422.11,95,Baixo
2015,2,2015-02-01,Norte,RO,Hidrelétrica,81859.66,82322.87,114603.52,3274.39,338.95,95,Alto
2015,2,2015-02-01,Norte,RO,Eólica,11764.53,12116.42,16470.34,470.58,361.4,95,Alto
2015,2,2015-02-01,Norte,RO,Solar,26403.14,21842.16,36964.4,1056.13,418.22,95,Baixo
2015,2,2015-02-01,Norte,RO,Termelétrica,30859.44,34034.21,43203.22,20058.64,310.82,10,Alto
2015,2,2015-02-01,Norte,RO,Biomassa,24217.33,25871.81,33904.26,968.69,158.8,95,Alto
2015,2,2015-02-01,Norte,RO,Nuclear,9525.45,10469.52,13335.63,381.02,446.95,95,Alto
2015,2,2015-02-01,Norte,TO,Hidrelétrica,69752.33,55789.3,97653.26,2790.09,340.24,95,Baixo
2015,2,2015-02-01,Norte,TO,Eólica,40045.78,37002.35,56064.09,1601.83,194.89,95,Médio
2015,2,2015-02-01,Norte,TO,Solar,26178.98,23364.11,36650.57,1047.16,326.12,95,Médio
2015,2,2015-02-01,Norte,TO,Termelétrica,34063.88,38971.6,47689.43,22141.52,443.56,10,Crítico
2015,2,2015-02-01,Norte,TO,Biomassa,25991.27,20841.45,36387.78,1039.65,222.42,95,Baixo
2015,2,2015-02-01,Norte,TO,Nuclear,9121.15,9150.42,12769.62,364.85,330.42,95,Alto
2015,2,2015-02-01,Nordeste,BA,Hidrelétrica,68438.64,75828.04,95814.1,2737.55,296.71,95,Alto
2015,2,2015-02-01,Nordeste,BA,Eólica,33943.92,30564.03,47521.49,1357.76,387.93,95,Médio
2015,2,2015-02-01,Nordeste,BA,Solar,48070.16,50138.32,67298.23,1922.81,245.11,95,Alto
2015,2,2015-02-01,Nordeste,BA,Termelétrica,32410.32,31541.86,45374.45,21066.71,447.07,10,Médio
2015,2,2015-02-01,Nordeste,BA,Biomassa,13270.28,13591.28,18578.4,530.81,438.6,95,Alto
2015,2,2015-02-01,Nordeste,BA,Nuclear,8948.28,8288.47,12527.6,357.93,345.31,95,Médio
2015,2,2015-02-01,Nordeste,PE,Hidrelétrica,75949.35,64793.69,106329.1,3037.97,299.83,95,Médio
2015,2,2015-02-01,Nordeste,PE,Eólica,18881.35,16770.33,26433.9,755.25,214.5,95,Médio
2015,2,2015-02-01,Nordeste,PE,Solar,31677.48,35251.27,44348.47,1267.1,176.26,95,Alto
2015,2,2015-02-01,Nordeste,PE,Termelétrica,33241.63,26325.3,46538.28,21607.06,269.51,10,Baixo
2015,2,2015-02-01,Nordeste,PE,Biomassa,26102.61,22009.47,36543.65,1044.1,283.28,95,Baixo
2015,2,2015-02-01,Nordeste,PE,Nuclear,19321.43,21901.46,27050.0,772.86,396.46,95,Crítico
2015,2,2015-02-01,Nordeste,CE,Hidrelétrica,79449.61,81468.63,111229.46,3177.98,212.99,95,Alto
2015,2,2015-02-01,Nordeste,CE,Eólica,35293.94,28608.8,49411.51,1411.76,189.36,95,Baixo
2015,2,2015-02-01,Nordeste,CE,Solar,26528.21,23128.85,37139.5,1061.13,364.45,95,Médio
2015,2,2015-02-01,Nordeste,CE,Termelétrica,26955.06,29913.37,37737.09,17520.79,279.07,10,Alto
2015,2,2015-02-01,Nordeste,CE,Biomassa,22144.35,20550.64,31002.09,885.77,422.34,95,Médio
2015,2,2015-02-01,Nordeste,CE,Nuclear,100.0,96.06,140.0,4.0,391.43,95,Médio
2015,2,2015-02-01,Nordeste,MA,Hidrelétrica,82196.27,80513.81,115074.78,3287.85,443.22,95,Médio
2015,2,2015-02-01,Nordeste,MA,Eólica,36911.66,34614.35,51676.33,1476.47,422.89,95,Médio
2015,2,2015-02-01,Nordeste,MA,Solar,19356.56,14747.21,27099.18,774.26,153.71,95,Baixo
2015,2,2015-02-01,Nordeste,MA,Termelétrica,37164.77,40748.64,52030.68,24157.1,342.29,10,Alto
2015,2,2015-02-01,Nordeste,MA,Biomassa,19595.84,21348.91,27434.17,783.83,343.78,95,Alto
2015,2,2015-02-01,Nordeste,MA,Nuclear,8438.18,7656.05,11813.45,337.53,350.01,95,Médio
2015,2,2015-02-01,Nordeste,PB,Hidrelétrica,80314.58,83386.68,112440.41,3212.58,266.37,95,Alto
2015,2,2015-02-01,Nordeste,PB,Eólica,29319.23,29503.66,41046.93,1172.77,424.57,95,Alto
2015,2,2015-02-01,Nordeste,PB,Solar,41368.38,46753.98,57915.73,1654.74,161.09,95,Crítico
2015,2,2015-02-01,Nordeste,PB,Termelétrica,40678.46,37018.73,56949.85,26441.0,267.14,10,Médio
2015,2,2015-02-01,Nordeste,PB,Biomassa,23364.85,23056.64,32710.79,934.59,427.71,95,Médio
2015,2,2015-02-01,Nordeste,PB,Nuclear,100.0,84.37,140.0,4.0,209.14,95,Baixo
2015,2,2015-02-01,Centro-Oeste,DF,Hidrelétrica,86326.56,69711.47,120857.18,3453.06,432.53,95,Baixo
2015,2,2015-02-01,Centro-Oeste,DF,Eólica,32244.01,30554.58,45141.62,1289.76,291.4,95,Médio
2015,2,2015-02-01,Centro-Oeste,DF,Solar,19355.64,17731.71,27097.89,774.23,373.66,95,Médio
2015,2,2015-02-01,Centro-Oeste,DF,Termelétrica,36060.31,38316.64,50484.43,23439.2,376.3,10,Alto
2015,2,2015-02-01,Centro-Oeste,DF,Biomassa,14937.3,16868.51,20912.22,597.49,189.95,95,Crítico
2015,2,2015-02-01,Centro-Oeste,DF,Nuclear,12208.44,11353.25,17091.82,488.34,433.2,95,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Hidrelétrica,43396.73,38581.03,60755.42,1735.87,200.17,95,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Eólica,32398.1,36495.01,45357.34,1295.92,188.17,95,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,Solar,27419.76,24696.91,38387.67,1096.79,392.21,95,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Termelétrica,46599.06,43482.05,65238.68,30289.39,263.48,10,Médio
2015,2,2015-02-01,Centro-Oeste,GO,Biomassa,16095.36,17951.52,22533.5,643.81,418.51,95,Alto
2015,2,2015-02-01,Centro-Oeste,GO,Nuclear,6054.59,6017.57,8476.42,242.18,305.9,95,Médio
2015,2,2015-02-01,Centro-Oeste,MT,Hidrelétrica,63335.13,58444.34,88669.18,2533.41,353.58,95,Médio
2015,2,2015-02-01,Centro-Oeste,MT,Eólica,42755.52,32316.54,59857.72,1710.22,256.79,95,Baixo
2015,2,2015-02-01,Centro-Oeste,MT,Solar,26996.73,28195.77,37795.42,1079.87,367.93,95,Alto
2015,2,2015-02-01,Centro-Oeste,MT,Termelétrica,28898.88,24010.26,40458.43,18784.27,388.16,10,Baixo
2015,2,2015-02-01,Centro-Oeste,MT,Biomassa,32882.72,33096.26,46035.81,1315.31,197.05,95,Alto
2015,2,2015-02-01,Centro-Oeste,MT,Nuclear,13501.01,13639.69,18901.42,540.04,335.52,95,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Hidrelétrica,74950.32,59869.0,104930.45,2998.01,378.36,95,Baixo
2015,2,2015-02-01,Centro-Oeste,MS,Eólica,26774.96,29734.88,37484.95,1071.0,240.58,95,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Solar,35292.95,35526.84,49410.13,1411.72,245.97,95,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Termelétrica,35635.62,36490.56,49889.87,23163.15,339.27,10,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Biomassa,18068.63,18281.4,25296.09,722.75,359.35,95,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Nuclear,10449.37,10034.25,14629.12,417.97,447.19,95,Médio
2015,2,2015-02-01,Sudeste,SP,Hidrelétrica,69092.39,52540.71,96729.34,2763.7,166.38,95,Baixo
2015,2,2015-02-01,Sudeste,SP,Eólica,33517.03,36942.66,46923.84,1340.68,434.3,95,Alto
2015,2,2015-02-01,Sudeste,SP,Solar,10648.54,10521.47,14907.96,425.94,431.12,95,Médio
2015,2,2015-02-01,Sudeste,SP,Termelétrica,28334.09,25931.05,39667.72,18417.16,284.27,10,Médio
2015,2,2015-02-01,Sudeste,SP,Biomassa,22988.53,23490.83,32183.95,919.54,244.95,95,Alto
2015,2,2015-02-01,Sudeste,SP,Nuclear,621.08,542.15,869.51,24.84,444.94,95,Médio
2015,2,2015-02-01,Sudeste,RJ,Hidrelétrica,76158.68,79661.52,106622.15,3046.35,434.44,95,Alto
2015,2,2015-02-01,Sudeste,RJ,Eólica,41911.54,42293.88,58676.15,1676.46,372.53,95,Alto
2015,2,2015-02-01,Sudeste,RJ,Solar,30676.18,35269.11,42946.65,1227.05,180.05,95,Crítico
2015,2,2015-02-01,Sudeste,RJ,Termelétrica,46572.16,40992.67,65201.03,30271.91,177.1,10,Médio
2015,2,2015-02-01,Sudeste,RJ,Biomassa,19472.81,15337.31,27261.94,778.91,431.52,95,Baixo
2015,2,2015-02-01,Sudeste,RJ,Nuclear,100.0,99.69,140.0,4.0,216.6,95,Médio
2015,2,2015-02-01,Sudeste,MG,Hidrelétrica,72934.14,81595.08,102107.79,2917.37,192.05,95,Alto
2015,2,2015-02-01,Sudeste,MG,Eólica,37441.57,28726.04,52418.19,1497.66,247.81,95,Baixo
2015,2,2015-02-01,Sudeste,MG,Solar,17881.25,14993.43,25033.75,715.25,184.45,95,Baixo
2015,2,2015-02-01,Sudeste,MG,Termelétrica,29406.33,27188.35,41168.86,19114.12,418.92,10,Médio
2015,2,2015-02-01,Sudeste,MG,Biomassa,22010.16,21913.15,30814.23,880.41,448.61,95,Médio
2015,2,2015-02-01,Sudeste,MG,Nuclear,6756.23,6736.82,9458.73,270.25,384.27,95,Médio
2015,2,2015-02-01,Sudeste,ES,Hidrelétrica,73772.88,82679.42,103282.04,2950.92,218.7,95,Crítico
2015,2,2015-02-01,Sudeste,ES,Eólica,29594.98,31844.71,41432.97,1183.8,323.66,95,Alto
2015,2,2015-02-01,Sudeste,ES,Solar,33046.71,33660.71,46265.4,1321.87,172.38,95,Alto
2015,2,2015-02-01,Sudeste,ES,Termelétrica,30729.96,24850.42,43021.94,19974.47,193.71,10,Baixo
2015,2,2015-02-01,Sudeste,ES,Biomassa,33847.13,36144.11,47385.98,1353.89,440.43,95,Alto
2015,2,2015-02-01,Sudeste,ES,Nuclear,13359.99,14924.5,18703.98,534.4,305.46,95,Alto
2015,2,2015-02-01,Sul,PR,Hidrelétrica,67468.17,53337.11,94455.44,2698.73,239.72,95,Baixo
2015,2,2015-02-01,Sul,PR,Eólica,33583.54,34778.57,47016.96,1343.34,315.73,95,Alto
2015,2,2015-02-01,Sul,PR,Solar,29296.42,31787.89,41014.99,1171.86,440.45,95,Alto
2015,2,2015-02-01,Sul,PR,Termelétrica,50854.4,39349.58,71196.16,33055.36,312.15,10,Baixo
2015,2,2015-02-01,Sul,PR,Biomassa,24674.11,22202.53,34543.75,986.96,372.57,95,Médio
2015,2,2015-02-01,Sul,PR,Nuclear,1438.67,1230.84,2014.14,57.55,193.51,95,Médio
2015,2,2015-02-01,Sul,SC,Hidrelétrica,79282.06,89063.58,110994.89,3171.28,348.53,95,Crítico
2015,2,2015-02-01,Sul,SC,Eólica,27341.16,29207.9,38277.62,1093.65,309.75,95,Alto
2015,2,2015-02-01,Sul,SC,Solar,39395.48,36980.65,55153.67,1575.82,174.57,95,Médio
2015,2,2015-02-01,Sul,SC,Termelétrica,38360.93,35577.7,53705.3,24934.6,380.79,10,Médio
2015,2,2015-02-01,Sul,SC,Biomassa,13460.69,13998.52,18844.97,538.43,233.61,95,Alto
2015,2,2015-02-01,Sul,SC,Nuclear,7703.74,7606.6,10785.24,308.15,257.54,95,Médio
2015,2,2015-02-01,Sul,RS,Hidrelétrica,78078.26,60593.99,109309.56,3123.13,203.3,95,Baixo
2015,2,2015-02-01,Sul,RS,Eólica,29560.05,24080.27,41384.08,1182.4,364.74,95,Baixo
2015,2,2015-02-01,Sul,RS,Solar,22055.79,20233.73,30878.11,882.23,394.37,95,Médio
2015,2,2015-02-01,Sul,RS,Termelétrica,34482.38,33809.49,48275.33,22413.55,313.74,10,Médio
2015,2,2015-02-01,Sul,RS,Biomassa,28202.42,27338.44,39483.39,1128.1,421.51,95,Médio
2015,2,2015-02-01,Sul,RS,Nuclear,5794.86,6620.73,8112.81,231.79,194.15,95,Crítico
2015,3,2015-03-01,Norte,AM,Hidrelétrica,77205.01,64588.48,108087.02,3088.2,268.44,95,Baixo
2015,3,2015-03-01,Norte,AM,Eólica,33506.3,26246.12,46908.83,1340.25,295.18,95,Baixo
2015,3,2015-03-01,Norte,AM,Solar,28478.11,24882.57,39869.35,1139.12,325.65,95,Médio
